,FILE NO,DIVISION,MODE OF TRANSPORTATION,BUSINESS LINE,SALESMAN CODE,SALESMAN NAME,REPORT DATE,CUSTOMER CODE,CUSTOMER NAME,PORT OF LOAD NAME,PORT OF LOAD COUNTRY,PORT OF DCHG NAME,PORT OF DCHG COUNTRY,GROSS WEIGHT,REVENUE,PROFIT,TOTAL BILLED TO ACCOUNT,STATUS,CONTROLLER,INV DATE,DATE INVOICED,LAST EVENT NAME
11,1115536-01,10,,15.0,9999.0,AGENTS, 2/14/2021,COHFRE14,COHESION FREIGHT AGENCY LTD,NEW JERSEY,US,SHANGHAI,CN,1177.0,955.12,384.82,955.12,ARRIVED DESTINATION PORT,MARIA RODRIGUEZ, 2/12/2021, 2/14/2021,Delivered Date
12,1115541-01,10,,15.0,5.0,JOE WYSON/HOUSE, 3/07/2021,DARGLO16,DART GLOBAL LOGISTICS PVT LTD,NEW JERSEY,US,COLOMBO,LK,244.94,421.61,208.94,421.61,ARRIVED DESTINATION PORT,MARIA RODRIGUEZ, 3/01/2021, 3/07/2021,Profit/Loss Report
13,1115542-01,10,,15.0,5.0,JOE WYSON/HOUSE, 2/12/2021,FLEGLE01,FLEXCON GLENROTHES FINISHING,NEWARK,US,LIVERPOOL,GB,2075.66,"2,990.00",609.95,"2,990.00",DELIVERED,MARIA RODRIGUEZ, 2/12/2021, 2/12/2021,Delivered Date
14,1115543-01,10,,15.0,5.0,JOE WYSON/HOUSE, 2/15/2021,ELEFOR01,"ELECTRONICS FOR IMAGING, INC.",NORFOLK,US,ROTTERDAM,NL,2731.561,"2,957.62",381.45,"2,972.62",DELIVERED,MARIA RODRIGUEZ, 2/12/2021, 2/15/2021,Delivered Date
15,1115544-01,10,,15.0,9999.0,AGENTS, 2/12/2021,SENINT21,SENATOR INTERNATIONAL LOGISTICA,NEW YORK,US,SANTOS,BR,156.23,670.37,492.67,670.37,ARRIVED DESTINATION PORT,MARIA RODRIGUEZ, 2/09/2021, 2/09/2021,Vessel Unloaded
16,1115545-01,10,,15.0,28.0,JODI O, 2/15/2021,SENINT17,SENATOR INTERNATIONAL SPEDITION GMB,NEW YORK,US,HAMBURG,DE,10356.98,"2,279.90","1,102.19","2,279.90",ARRIVED DESTINATION PORT,MARIA RODRIGUEZ, 2/15/2021, 2/15/2021,Empty Return
17,1115546-01,10,,15.0,28.0,JODI O, 3/01/2021,SENINT17,SENATOR INTERNATIONAL SPEDITION GMB,NEW YORK,US,HAMBURG,DE,9248.389,"3,364.90","1,110.53","2,279.90",ARRIVED DESTINATION PORT,MARIA RODRIGUEZ, 3/01/2021, 3/01/2021,Empty Return
18,1115547-01,10,,15.0,28.0,JODI O, 2/09/2021,GEMGRA,GEM GRAVURE CO INC,NEW JERSEY,US,HAMBURG,DE,183.253,716.53,454.31,716.53,ARRIVED DESTINATION PORT,MARIA RODRIGUEZ, 2/09/2021, 2/09/2021,Vessel Unloaded
19,1115548-01,10,,15.0,5.0,JOE WYSON/HOUSE, 3/07/2021,ELEFOR01,"ELECTRONICS FOR IMAGING, INC.",NORFOLK,US,FELIXSTOWE,GB,3651.909,"1,620.20",267.92,"1,620.20",ARRIVED DESTINATION PORT,MARIA RODRIGUEZ, 2/18/2021, 2/18/2021,Vessel Unloaded
20,1115549-01,10,,15.0,36.0,VALERIE KOEN, 2/16/2021,INKNOW01,INKCUPS NOW CORPORATION,NEW JERSEY,US,HO CHI MINH,VN,6929.601,"4,187.70",853.75,"4,202.70",ARRIVED DESTINATION PORT,MARIA RODRIGUEZ, 2/16/2021, 2/16/2021,Delivered Date
21,1115550-01,10,,15.0,5.0,JOE WYSON/HOUSE, 3/07/2021,DARGLO16,DART GLOBAL LOGISTICS PVT LTD,NEW JERSEY,US,COLOMBO,LK,350.0,611.06,407.33,611.06,ARRIVED DESTINATION PORT,PHYLLIS POMER, 3/01/2021, 3/01/2021,Delivered Date
22,1115550-02,10,,15.0,5.0,JOE WYSON/HOUSE, 3/07/2021,DARGLO16,DART GLOBAL LOGISTICS PVT LTD,NEW JERSEY,US,COLOMBO,LK,381.0,603.23,470.37,603.23,ARRIVED DESTINATION PORT,PHYLLIS POMER, 3/07/2021, 3/07/2021,Vessel Unloaded
23,1115550-03,10,,15.0,5.0,JOE WYSON/HOUSE, 3/07/2021,DARGLO16,DART GLOBAL LOGISTICS PVT LTD,NEW JERSEY,US,COLOMBO,LK,90.0,612.75,553.7,612.75,ARRIVED DESTINATION PORT,PHYLLIS POMER, 3/07/2021, 3/07/2021,Vessel Unloaded
24,1115550-04,10,,15.0,5.0,JOE WYSON/HOUSE, 3/07/2021,DARGLO16,DART GLOBAL LOGISTICS PVT LTD,NEW JERSEY,US,COLOMBO,LK,20.0,618.46,603.7,618.46,ARRIVED DESTINATION PORT,PHYLLIS POMER, 3/07/2021, 3/07/2021,Vessel Unloaded
25,1115553-01,10,,15.0,5.0,JOE WYSON/HOUSE, 3/07/2021,DARGLO16,DART GLOBAL LOGISTICS PVT LTD,NEW JERSEY,US,COLOMBO,LK,217.727,436.4,223.31,436.4,ARRIVED DESTINATION PORT,PHYLLIS POMER, 3/01/2021, 3/07/2021,Vessel Unloaded
26,1115554-01,10,,15.0,33.0,Elaine Dresios, 2/15/2021,MILDIR01,MILL DIRECT TEXTILES,"BOSTON, MA",US,LONDON,GB,165.109,"1,183.08",418.24,"1,183.08",DELIVERED,PHYLLIS POMER, 2/15/2021, 2/15/2021,Delivered Date
27,1115555-01,10,,15.0,36.0,VALERIE KOEN, 3/30/2021,WELLPE01,WELLPET LLC,PHILADELPHIA,US,MELBOURNE,AU,19338.201,"6,020.00","1,042.00","6,020.00",ARRIVED DESTINATION PORT,MARIA RODRIGUEZ, 3/30/2021, 4/08/2021,Vessel Arrival
28,1115556-01,10,,15.0,5.0,JOE WYSON/HOUSE, 2/09/2021,FLEGLE01,FLEXCON GLENROTHES FINISHING,NEW YORK,US,LIVERPOOL,GB,10972.997,"4,412.50",960.28,"4,512.50",DELIVERED,MARIA RODRIGUEZ, 2/05/2021, 2/09/2021,Delivered Date
29,1115557-01,10,,15.0,5.0,JOE WYSON/HOUSE, 2/13/2021,FLEGLE01,FLEXCON GLENROTHES FINISHING,NEW YORK,US,LIVERPOOL,GB,8759.0,"4,087.50","1,000.79","4,187.50",DELIVERED,MARIA RODRIGUEZ, 2/13/2021, 2/13/2021,Delivered Date
30,1115558-01,10,,15.0,28.0,JODI O, 2/11/2021,TORPLA01,"TORAY PLASTICS (AMERICA), INC",NEW YORK,US,CARTAGENA,CO,19287.072,"5,889.91","1,663.49","5,889.91",DELIVERED,MARIA RODRIGUEZ, 2/11/2021, 3/03/2021,Profit/Loss Report
31,1115559-01,10,,15.0,5.0,JOE WYSON/HOUSE, 2/20/2021,DESMET01,DESKTOP METAL INC,MONTREAL,CA,ANTWERP,BE,2780.0,"3,923.00",958.21,"3,948.00",DELIVERED,MARIA RODRIGUEZ, 2/19/2021, 3/18/2021,Delivered Date
32,1115560-01,10,,15.0,5.0,JOE WYSON/HOUSE, 2/13/2021,ELEFOR01,"ELECTRONICS FOR IMAGING, INC.",NEWARK,US,CORINTO,NI,1706.0,"5,356.00",760.96,"5,356.00",DELIVERED,MARIA RODRIGUEZ, 2/13/2021, 2/13/2021,Profit/Loss Report
33,1115561-01,10,,15.0,36.0,VALERIE KOEN, 3/30/2021,WELLPE01,WELLPET LLC,PHILADELPHIA,US,MELBOURNE,AU,36782.18,"11,870.00","2,064.00","11,870.00",ARRIVED DESTINATION PORT,MARIA RODRIGUEZ, 3/30/2021, 4/19/2021,Vessel Arrival
34,1115562-01,10,,15.0,5.0,JOE WYSON/HOUSE, 2/26/2021,ELEFOR01,"ELECTRONICS FOR IMAGING, INC.",NEW YORK,US,FELIXSTOWE,GB,5234.96,"3,925.00","1,134.34","3,925.00",ARRIVED DESTINATION PORT,PHYLLIS POMER, 2/26/2021, 3/11/2021,Delivered Date
35,1115563-01,10,,15.0,5.0,JOE WYSON/HOUSE, 4/08/2021,ELEFOR01,"ELECTRONICS FOR IMAGING, INC.",NEW JERSEY,US,ASHDOD,IL,568.81,957,215.32,957,DELIVERED,PHYLLIS POMER, 4/08/2021, 6/02/2021,Delivered Date
36,1115564-01,10,,15.0,36.0,VALERIE KOEN, 2/27/2021,INKNOW01,INKCUPS NOW CORPORATION,NEW YORK,US,HONG KONG,HK,664.973,"1,261.42",395.78,"1,286.42",DELIVERED,PHYLLIS POMER, 2/24/2021, 2/27/2021,Profit/Loss Report
37,1115565-01,10,,15.0,28.0,JODI O, 2/13/2021,GEMGRA,GEM GRAVURE CO INC,NEW JERSEY,US,HAMBURG,DE,659.53,966.73,543.88,966.73,ARRIVED DESTINATION PORT,MARIA RODRIGUEZ, 2/13/2021, 2/13/2021,Delivered Date
38,1115566-01,10,,15.0,36.0,VALERIE KOEN, 2/13/2021,INKNOW01,INKCUPS NOW CORPORATION,NEW JERSEY,US,HAMBURG,DE,963.0,"3,953.59",496.06,"3,953.59",DELIVERED,MARIA RODRIGUEZ, 2/13/2021, 2/13/2021,Delivered Date
39,1115567-01,10,,15.0,5.0,JOE WYSON/HOUSE, 3/13/2021,FLEGLE01,FLEXCON GLENROTHES FINISHING,NEWARK,US,LIVERPOOL,GB,1369.0,"2,893.12",691.26,"2,893.12",DELIVERED,PHYLLIS POMER, 4/30/2021, 4/30/2021,Profit/Loss Report
40,1115569-01,10,,15.0,5.0,JOE WYSON/HOUSE, 2/28/2021,FLEGLE01,FLEXCON GLENROTHES FINISHING,NEW YORK,US,LIVERPOOL,GB,11946.0,"4,471.00","1,364.47","4,571.00",DELIVERED,MARIA RODRIGUEZ, 2/28/2021, 2/28/2021,Profit/Loss Report
41,1115570-01,10,,15.0,5.0,JOE WYSON/HOUSE, 3/07/2021,DARGLO16,DART GLOBAL LOGISTICS PVT LTD,NEW JERSEY,US,COLOMBO,LK,422.3,497.46,223.44,497.46,ARRIVED DESTINATION PORT,MARIA RODRIGUEZ, 3/01/2021, 3/07/2021,Delivered Date
42,1115571-01,10,,15.0,33.0,Elaine Dresios, 3/23/2021,JHJINT28,JHJ INTERNATIONAL TRANSPORTATION CO,NEW YORK,US,SHANGHAI,CN,6141.703,"3,066.60","1,079.52","3,066.60",ARRIVED DESTINATION PORT,MARIA RODRIGUEZ, 3/23/2021, 4/01/2021,Vessel Arrival
43,1115572-01,10,,15.0,5.0,JOE WYSON/HOUSE, 2/13/2021,IHEADI01,I-HEALTH INC,PORT EVERGLADES,US,SANTOS,BR,238.882,50,50,50,ARRIVED DESTINATION PORT,PHYLLIS POMER,12/13/2020,12/13/2020,Delivered Date
44,1115573-01,10,,15.0,33.0,Elaine Dresios, 4/10/2021,JHJINT28,JHJ INTERNATIONAL TRANSPORTATION CO,NEW YORK,US,SHANGHAI,CN,6230.155,"3,375.60",922.69,"3,375.60",ARRIVED DESTINATION PORT,MARIA RODRIGUEZ, 4/10/2021, 4/10/2021,Pre-Alert
45,1115574-01,10,,15.0,36.0,VALERIE KOEN, 2/20/2021,HYDINC01,HYDROW INC,NEW JERSEY,US,LIVERPOOL,GB,3698.63,"15,512.90","3,977.10","15,512.90",DELIVERED,PHYLLIS POMER, 2/20/2021, 2/20/2021,Profit/Loss Report
46,1115575-01,10,,15.0,5.0,JOE WYSON/HOUSE, 3/15/2021,ELEFOR01,"ELECTRONICS FOR IMAGING, INC.",NEW JERSEY,US,ASHDOD,IL,364.692,954.4,236.27,954.4,DELIVERED,MARIA RODRIGUEZ, 3/13/2021, 5/28/2021,Profit/Loss Report
47,1115576-01,10,,15.0,5.0,JOE WYSON/HOUSE, 2/28/2021,ELEFOR01,"ELECTRONICS FOR IMAGING, INC.",NORFOLK,US,ROTTERDAM,NL,1860.07,"1,678.30",229.33,"1,693.30",DELIVERED,MARIA RODRIGUEZ, 2/28/2021, 4/07/2021,Profit/Loss Report
48,1115577-01,10,,15.0,5.0,JOE WYSON/HOUSE, 3/06/2021,COLCHA01,COLD CHAIN TECHNOLOGIES LLC,NEW YORK,US,CARTAGENA,CO,4078.291,"4,528.25","1,162.90","4,528.25",ARRIVED DESTINATION PORT,PHYLLIS POMER, 3/06/2021, 3/06/2021,Empty Return
49,1115578-01,10,,15.0,28.0,JODI O, 2/25/2021,TORPLA01,"TORAY PLASTICS (AMERICA), INC",NEW YORK,US,CARTAGENA,CO,39262.709,"11,474.82","3,223.39","11,474.82",DELIVERED,MARIA RODRIGUEZ, 2/25/2021, 3/16/2021,Empty Return
50,1115579-01,10,,15.0,5.0,JOE WYSON/HOUSE, 2/28/2021,FLEGLE01,FLEXCON GLENROTHES FINISHING,NEW YORK,US,LIVERPOOL,GB,14178.0,"4,471.00","1,115.98","4,571.00",DELIVERED,MARIA RODRIGUEZ, 2/28/2021, 2/28/2021,Delivered Date
51,1115580-01,10,,15.0,5.0,JOE WYSON/HOUSE, 3/11/2021,DARGLO16,DART GLOBAL LOGISTICS PVT LTD,NEW JERSEY,US,COLOMBO,LK,63.05,373.75,257.05,373.75,ARRIVED DESTINATION PORT,PHYLLIS POMER, 3/11/2021, 3/11/2021,Delivered Date
52,1115580-02,10,,15.0,5.0,JOE WYSON/HOUSE, 3/11/2021,DARGLO16,DART GLOBAL LOGISTICS PVT LTD,NEW JERSEY,US,COLOMBO,LK,96.616,373.75,306.25,373.75,ARRIVED DESTINATION PORT,PHYLLIS POMER, 3/11/2021, 3/11/2021,Delivered Date
53,1115581-01,10,,15.0,5.0,JOE WYSON/HOUSE, 3/04/2021,FLEGLE01,FLEXCON GLENROTHES FINISHING,PORTLAND,US,IMMINGHAM,GB,11899.0,"4,146.00",966,"4,246.00",ARRIVED DESTINATION PORT,MARIA RODRIGUEZ, 3/04/2021, 3/04/2021,Delivered Date
54,1115582-01,10,,15.0,36.0,VALERIE KOEN, 3/17/2021,WELLPE01,WELLPET LLC,PHILADELPHIA,US,MELBOURNE,AU,18971.422,"5,985.00",945,"5,985.00",ARRIVED DESTINATION PORT,MARIA RODRIGUEZ, 3/17/2021, 3/24/2021,Vessel Unloaded
55,1115583-01,10,,15.0,5.0,JOE WYSON/HOUSE, 3/07/2021,FLECON01,FLEXCON CONVERTING INC.,NEW YORK,US,SINGAPORE,SG,11112.0,"2,904.50","1,240.17","2,904.50",ARRIVED DESTINATION PORT,MARIA RODRIGUEZ, 3/07/2021, 3/07/2021,Delivered Date
56,1115584-01,10,,15.0,5.0,JOE WYSON/HOUSE, 3/01/2021,ELEFOR01,"ELECTRONICS FOR IMAGING, INC.",NEW YORK,US,ROTTERDAM,NL,2422.184,"4,306.90","1,650.43","4,331.90",DELIVERED,MARIA RODRIGUEZ, 2/27/2021, 3/01/2021,Empty Return
57,1115585-01,10,,15.0,5.0,JOE WYSON/HOUSE, 3/14/2021,RAMCAS01,RAMINATRANS CASTELLON,HALIFAX,CA,VALENCIA,ES,11393.0,"3,617.00","1,481.68","3,617.00",ARRIVED DESTINATION PORT,MARIA RODRIGUEZ, 3/14/2021, 3/14/2021,Delivered Date
58,1115586-01,10,,15.0,5.0,JOE WYSON/HOUSE, 2/28/2021,FLEGLE01,FLEXCON GLENROTHES FINISHING,NEWARK,US,LIVERPOOL,GB,1665.1,"3,050.08",579.3,"3,050.08",DELIVERED,MARIA RODRIGUEZ, 2/28/2021, 2/28/2021,Profit/Loss Report
59,1115587-01,10,,15.0,5.0,JOE WYSON/HOUSE, 3/20/2021,COLCHA01,COLD CHAIN TECHNOLOGIES LLC,CHARLESTON,US,BALBOA,PA,3157.035,"3,470.00",630,"3,470.00",ARRIVED DESTINATION PORT,PHYLLIS POMER, 3/20/2021, 4/07/2021,Vessel Arrival
60,1115588-01,10,,15.0,9999.0,AGENTS, 3/17/2021,DARGLO30,DART GLOBAL LOGISTICS (THAI) CO. LT,NEW JERSEY,US,BANGKOK,TH,137.893,493,329.59,493,ARRIVED DESTINATION PORT,PHYLLIS POMER, 3/17/2021, 3/24/2021,Pre-Alert
61,1115589-01,10,,15.0,5.0,JOE WYSON/HOUSE, 3/13/2021,ELEFOR01,"ELECTRONICS FOR IMAGING, INC.",NEW YORK,US,IZMIR,TR,11119.0,"7,295.00","1,712.60","7,295.00",ARRIVED DESTINATION PORT,MARIA RODRIGUEZ, 3/13/2021, 4/07/2021,Delivered Date
62,1115590-01,10,,15.0,5.0,JOE WYSON/HOUSE, 3/25/2021,ELEFOR01,"ELECTRONICS FOR IMAGING, INC.",NORFOLK,US,FELIXSTOWE,GB,616.438,580.89,226.75,580.89,ARRIVED DESTINATION PORT,PHYLLIS POMER, 3/05/2021, 3/07/2021,Vessel Unloaded
63,1115591-01,10,,15.0,5.0,JOE WYSON/HOUSE, 3/07/2021,LIFBRA04,LIFETIME BRANDS,HOUSTON,US,SAN JUAN,US,4535.97,"11,614.30","1,486.71","11,614.30",DELIVERED,PHYLLIS POMER, 3/07/2021, 3/07/2021,Delivered Date
64,1115592-01,10,,15.0,5.0,JOE WYSON/HOUSE, 3/11/2021,DARGLO16,DART GLOBAL LOGISTICS PVT LTD,NEW JERSEY,US,COLOMBO,LK,269.89,406.69,200.56,406.69,ARRIVED DESTINATION PORT,PHYLLIS POMER, 3/11/2021, 3/11/2021,Profit/Loss Report
65,1115594-01,10,,15.0,5.0,JOE WYSON/HOUSE, 2/25/2021,FLEGLE01,FLEXCON GLENROTHES FINISHING,PORTLAND,US,IMMINGHAM,GB,11930.0,"3,687.50",807.5,"3,787.50",DELIVERED,MARIA RODRIGUEZ, 2/25/2021, 2/25/2021,Profit/Loss Report
66,1115595-01,10,,15.0,5.0,JOE WYSON/HOUSE, 3/20/2021,ELEFOR01,"ELECTRONICS FOR IMAGING, INC.",NEW YORK,US,FELIXSTOWE,GB,5698.539,"3,700.00",960.54,"3,700.00",ARRIVED DESTINATION PORT,MARIA RODRIGUEZ, 3/20/2021, 3/20/2021,Vessel Unloaded
67,1115596-01,10,,15.0,5.0,JOE WYSON/HOUSE, 3/20/2021,DESMET01,DESKTOP METAL INC,NEW JERSEY,US,BANGKOK,TH,479.906,"1,956.08",455.64,"1,956.08",DELIVERED,PHYLLIS POMER, 3/17/2021, 3/17/2021,Vessel Unloaded
68,1115597-01,10,,15.0,28.0,JODI O, 3/13/2021,SENINT17,SENATOR INTERNATIONAL SPEDITION GMB,NEW YORK,US,HAMBURG,DE,10117.0,"2,279.90","1,080.59","2,279.90",ARRIVED DESTINATION PORT,MARIA RODRIGUEZ, 3/13/2021, 3/13/2021,Empty Return
69,1115598-01,10,,15.0,282.0,JOLSON - PW REASSIGNED, 3/25/2021,SILMAC,SILVERSON MACHINES INC,NEW JERSEY,US,LONDON,GB,864.556,936.94,415.29,949.54,ARRIVED DESTINATION PORT,MARIA RODRIGUEZ, 3/24/2021, 3/24/2021,Vessel Unloaded
70,1115599-01,10,,15.0,5.0,JOE WYSON/HOUSE, 3/28/2021,FLEASI01,FLEXCON ASIA LIMTED,NEW YORK,US,HONG KONG,HK,12232.0,"2,926.50",906.17,"2,951.50",ARRIVED DESTINATION PORT,MARIA RODRIGUEZ, 3/28/2021, 3/28/2021,Delivered Date
71,1115600-01,10,,15.0,5.0,JOE WYSON/HOUSE, 3/12/2021,THEDES02,THE DESIGN HOUSE,SAVANNAH,US,CAUCEDO,DO,0.0,0,0,0,OPEN,MARIA RODRIGUEZ,  /  /    ,  /  /    ,File Opened
72,1115601-01,10,,15.0,5.0,JOE WYSON/HOUSE, 4/03/2021,DESMET01,DESKTOP METAL INC,NEW JERSEY,US,BANGKOK,TH,793.341,"2,941.12",493.76,"2,941.12",DELIVERED,PHYLLIS POMER, 4/03/2021, 4/03/2021,Profit/Loss Report
73,1115602-01,10,,15.0,5.0,JOE WYSON/HOUSE, 3/04/2021,FLEGLE01,FLEXCON GLENROTHES FINISHING,PORTLAND,US,IMMINGHAM,GB,12087.902,"4,314.00",934,"4,414.00",ARRIVED DESTINATION PORT,PHYLLIS POMER, 3/04/2021, 3/04/2021,Profit/Loss Report
74,1115603-01,10,,15.0,5.0,JOE WYSON/HOUSE, 4/04/2021,ELEFOR01,"ELECTRONICS FOR IMAGING, INC.",NORFOLK,US,ROTTERDAM,NL,1712.328,"1,872.22",421.87,"1,887.22",DELIVERED,PHYLLIS POMER, 4/04/2021, 4/04/2021,Profit/Loss Report
75,1115604-01,10,,15.0,28.0,JODI O, 3/11/2021,BREWAL01,BREWSTER WALLPAPER CORP,PORTLAND,US,IMMINGHAM,GB,4722.852,"3,050.00",709.57,"3,075.00",ARRIVED DESTINATION PORT,PHYLLIS POMER, 3/11/2021, 3/11/2021,Delivered Date
76,1115605-01,10,,15.0,5.0,JOE WYSON/HOUSE, 4/09/2021,3SFAB01,3S FABRICATIONS (PVT) LTD,NEW JERSEY,US,COLOMBO,LK,962.533,"1,377.20",508.07,"1,377.20",ARRIVED DESTINATION PORT,PHYLLIS POMER, 4/09/2021, 4/09/2021,Delivered Date
77,1115606-01,10,,15.0,5.0,JOE WYSON/HOUSE, 4/09/2021,DARGLO16,DART GLOBAL LOGISTICS PVT LTD,NEW JERSEY,US,COLOMBO,LK,390.0,681.14,351.4,681.14,ARRIVED DESTINATION PORT,MARIA RODRIGUEZ, 4/08/2021, 4/09/2021,Delivered Date
78,1115606-02,10,,15.0,5.0,JOE WYSON/HOUSE, 4/09/2021,DARGLO16,DART GLOBAL LOGISTICS PVT LTD,NEW JERSEY,US,COLOMBO,LK,560.0,959.6,541.14,959.6,ARRIVED DESTINATION PORT,MARIA RODRIGUEZ, 4/08/2021, 4/09/2021,Delivered Date
79,1115607,10,,15.0,5.0,JOE WYSON/HOUSE, 3/05/2021,IHEADI01,I-HEALTH INC,PORT EVERGLADES,US,SANTOS,BR,531.18,50,50,50,ARRIVED DESTINATION PORT,PHYLLIS POMER, 3/05/2021, 3/05/2021,Delivered Date
80,1115608-01,10,,15.0,5.0,JOE WYSON/HOUSE, 4/09/2021,DARGLO16,DART GLOBAL LOGISTICS PVT LTD,NEW JERSEY,US,COLOMBO,LK,409.598,635.64,204.87,635.64,ARRIVED DESTINATION PORT,PHYLLIS POMER, 4/09/2021, 4/09/2021,Delivered Date
81,1115608-02,10,,15.0,5.0,JOE WYSON/HOUSE, 4/09/2021,DARGLO16,DART GLOBAL LOGISTICS PVT LTD,NEW JERSEY,US,COLOMBO,LK,337.93,539.07,350.15,539.07,ARRIVED DESTINATION PORT,PHYLLIS POMER, 4/09/2021, 4/09/2021,Delivered Date
82,1115609-01,10,,15.0,5.0,JOE WYSON/HOUSE, 3/11/2021,FLEGLE01,FLEXCON GLENROTHES FINISHING,PORTLAND,US,IMMINGHAM,GB,7314.0,"4,087.50",907.5,"4,187.50",DELIVERED,MARIA RODRIGUEZ, 3/11/2021, 3/11/2021,Delivered Date
83,1115610-01,10,,15.0,5.0,JOE WYSON/HOUSE, 4/08/2021,ELEFOR01,"ELECTRONICS FOR IMAGING, INC.",NEW JERSEY,US,ASHDOD,IL,749.342,"1,194.72",359.53,"1,194.72",DELIVERED,PHYLLIS POMER, 4/08/2021, 6/01/2021,Profit/Loss Report
84,1115611-01,10,,15.0,5.0,JOE WYSON/HOUSE, 3/11/2021,FLEGLE01,FLEXCON GLENROTHES FINISHING,PORTLAND,US,IMMINGHAM,GB,10931.0,"4,471.00","1,091.00","4,571.00",ARRIVED DESTINATION PORT,MARIA RODRIGUEZ, 3/11/2021, 3/11/2021,Profit/Loss Report
85,1115612-01,10,,15.0,28.0,JODI O, 4/05/2021,WEBIND03,WEB INDUSTRIES INC.,"BOSTON, MA",US,DUBLIN,IE,17032.114,"4,412.75","1,266.24","4,437.75",DELIVERED,PHYLLIS POMER, 4/05/2021, 4/05/2021,Profit/Loss Report
